ip_addr,serial_num,Chain SN,MAC,Customer,Area,Racks,Model,Network,Fault Type,Fault cause,Work Mode,Ideal Hashrate,Real-time,Hashrate,Mining pool 1,Sub-account 1,Status 1,Mining pool 2,Sub-account 2,Status 2,Mining pool 3,Sub-account 3,Status 3,Firmware Version,Fan Speed,Hashboard,Temp,Running Time,Monitoring time
10.202.23.46,HQDZDXCBBJDJH033S,"HQDZYNSBBJDJH09P1,HQDZYNSBBJDJH09PL,HQDZYNSBBJDJH09PA",02:19:71:FC:3F:E2,,,,S19j Pro-96T,Offline,,,Normal,96000GH,97592.65GH,98028.18GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x46,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x46,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x46,Alive,20220120,"5070,5130,5070,4890",3,"43,44,42",20h20m47s,2023-05-18 19:23:30
10.202.23.48,YDFTDXCBBJCJA05ET,"YDFTYNSBBJCJA0LP3,YDFTYNSBBJCJA0LP4,YDFTYNSBBJCJA0L16",02:48:B9:68:D9:65,,,,S19j Pro-96T,Offline,,,Normal,96000GH,98428.28GH,98081.44GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x48,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x48,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x48,Alive,20220120,"5760,6000,5880,5850",3,"44,45,45",20h20m50s,2023-05-18 19:23:32
10.202.23.49,HYDT67ABAJIAA007P,"HYDTYI3BAJIAA01EW,HYDTYI3BAJIAA00TN,HYDTYI3BAJIAA0053",84:F8:77:31:C2:E6,,,,S19 Pro-110T,Offline,,,Normal,110000GH,109269.47GH,111950.78GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x49,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x49,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x49,Alive,20210419,"5040,5040,5040,5040",3,"41,39,38",6h34m24s,2023-05-18 19:23:32
10.202.23.5,HQDZDXCBBJDJH02G8,"HQDZYNSBBJDJH06XV,HQDZYNSBBJDJH05VS,HQDZYNSBBJDJH06Y6",02:83:91:B1:D6:48,,,,S19j Pro-96T,Offline,,,Normal,96000GH,97790.56GH,98092.49GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x5,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x5,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x5,Alive,20220120,"5340,5160,5160,5340",3,"43,45,45",20h20m28s,2023-05-18 19:23:10
10.202.23.50,HQDZDXABBJDJH02YL,"HQDZYNSBBJDJH0B4D,HQDZYNSBBJDJH0B2R,HQDZYNSBBJDJH09BM",02:31:C3:E0:76:6D,,,,S19j Pro-104T,Offline,,,Normal,104000GH,106850.54GH,105749.73GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x50,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x50,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x50,Alive,20220120,"5850,5880,6000,5970",3,"43,44,43",20h20m51s,2023-05-18 19:23:32
10.202.23.51,HQDZDXCBBJEBC0JMC,"HQDZYNSBBJEBC03K8,HQDZYNSBBJEBC03G6,HQDZYNSBBJEBC05RS",02:33:79:90:08:43,,,,S19j Pro-96T,Offline,,,Normal,96000GH,99571.77GH,98052.77GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x51,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x51,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x51,Dead,20220427,"5220,5190,5250,5160",3,"45,43,42",20h20m51s,2023-05-18 19:23:32
10.202.23.52,HQDZDXCBBJDJH03JV,"HQDZYNSBBJDJH0ARA,HQDZYNSBBJDJH0B1B,HQDZYNSBBJDJH0B1D",02:A1:A3:B1:11:DD,,,,S19j Pro-96T,Offline,,,Normal,96000GH,99417.84GH,97934.94GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x52,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x52,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x52,Alive,20220120,"4920,5010,4950,4950",3,"44,45,45",20h20m50s,2023-05-18 19:23:32
10.202.23.53,FXDZDXABBJDJA02F3,"FXDZYNSBBJDJA0102,FXDZYNSBBJDJA00GF,FXDZYNSBBJDJA014F",02:91:67:CE:1D:72,,,,S19 Pro-104T,Offline,,,Normal,104000GH,105773.02GH,105823.76GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x53,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x53,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x53,Alive,20220322,"5610,5520,5520,5460",3,"44,45,44",21h2m56s,2023-05-18 19:23:33
10.202.23.54,FXDZDXABBJDJA004F,"FXDZYNSBBJDJA01XB,FXDZYNSBBJDJA01XT,FXDZYNSBBJDJA01X0",02:89:E5:E3:A0:D0,,,,S19 Pro-104T,Offline,,,Normal,104000GH,108103.98GH,105846.92GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x54,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x54,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x54,Alive,20220322,"5640,5700,5640,5790",3,"44,44,44",21h2m56s,2023-05-18 19:23:33
10.202.23.56,HQDZDXABBJDJH03HC,"HQDZYNSBBJDJH0BP0,HQDZYNSBBJDJH0BFE,HQDZYNSBBJDJH0BFM",02:B3:5D:F6:A6:52,,,,S19j Pro-104T,Offline,,,Normal,104000GH,108191.94GH,105778.32GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x56,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x56,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x56,Alive,20220120,"5310,5430,5580,5400",3,"44,45,44",20h20m54s,2023-05-18 19:23:35
10.202.23.57,HQDZDXABBJDJH02N5,"HQDZYNSBBJDJH08AE,HQDZYNSBBJDJH08AD,HQDZYNSBBJDJH0890",02:2B:47:E0:C8:7E,,,,S19j Pro-104T,Offline,,,Normal,104000GH,104167.73GH,105777.98GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x57,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x57,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x57,Alive,20220120,"6000,5910,5910,6000",3,"43,45,44",20h20m53s,2023-05-18 19:23:35
10.202.23.58,FXDZD4BBAJHBA0CR5,"FXDZYN3BAJHBA172X,FXDZYN3BAJHBA171R,FXDZYN3BAJHBA17JZ",64:CF:D9:FE:82:60,,,,S19j Pro-100T,Offline,,,Normal,100000GH,102210.6GH,101991.64GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x58,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x58,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x58,Alive,20210622,"5490,5430,5460,5520",3,"40,39,38",20h20m40s,2023-05-18 19:23:35
